po_id,supplier_id,contract_id,po_date,required_date,buyer_id,currency,status
PO000025,SUP0095,CON0123,2026-09-06,2026-10-16,BUY020,INR,Approved
PO000026,SUP0077,CON0099,2026-09-06,2026-10-07,BUY020,INR,Approved
PO000027,SUP0093,,2026-09-06,2026-10-11,BUY012,INR,Approved
PO000028,SUP0057,,2026-09-06,2026-10-01,BUY015,INR,Approved
PO000029,SUP0069,CON0060,2026-09-06,2026-09-28,BUY007,INR,Approved
PO000030,SUP0087,,2026-09-06,2026-10-19,BUY015,INR,Approved
PO000031,SUP0100,CON0090,2026-09-06,2026-10-07,BUY006,INR,Approved
PO000032,SUP0078,,2026-09-06,2026-09-21,BUY002,INR,Completed
PO000033,SUP0048,,2026-09-06,2026-10-18,BUY017,INR,Approved
PO000034,SUP0037,,2026-09-06,2026-09-18,BUY009,INR,Completed
PO000035,SUP0066,,2026-09-06,2026-09-22,BUY003,INR,Approved
PO000036,SUP0058,,2026-09-06,2026-10-05,BUY014,INR,Approved
PO000037,SUP0051,CON0135,2026-09-06,2026-10-15,BUY003,INR,Approved
PO000038,SUP0029,,2026-09-06,2026-09-14,BUY004,INR,Approved
PO000039,SUP0019,,2026-09-06,2026-09-21,BUY016,INR,Approved
PO000040,SUP0098,CON0012,2026-09-06,2026-10-13,BUY003,INR,Approved
PO000041,SUP0033,,2026-09-06,2026-09-26,BUY018,INR,Cancelled
PO000042,SUP0068,CON0124,2026-09-06,2026-10-10,BUY008,INR,Approved
PO000043,SUP0016,CON0138,2026-09-06,2026-09-16,BUY003,INR,Approved
PO000044,SUP0064,,2026-09-06,2026-10-21,BUY017,INR,Cancelled
PO000045,SUP0031,CON0035,2026-09-06,2026-09-22,BUY020,INR,Approved
PO000046,SUP0031,CON0035,2026-09-06,2026-10-19,BUY017,INR,Approved
PO000047,SUP0009,,2026-09-06,2026-10-16,BUY017,INR,Cancelled
PO000048,SUP0003,,2026-09-06,2026-10-07,BUY002,INR,Completed
PO000049,SUP0048,CON0031,2026-09-06,2026-09-29,BUY003,INR,Approved
PO000050,SUP0031,,2026-09-06,2026-09-19,BUY011,INR,Approved
PO000051,SUP0006,CON0067,2026-09-06,2026-10-05,BUY015,INR,Completed
PO000052,SUP0081,,2026-09-06,2026-09-24,BUY003,INR,Completed
PO000053,SUP0005,CON0051,2026-09-06,2026-10-01,BUY002,INR,Approved
PO000054,SUP0040,CON0126,2026-09-06,2026-10-15,BUY009,INR,Approved
PO000055,SUP0097,CON0049,2026-09-06,2026-09-25,BUY011,INR,Approved
PO000056,SUP0016,CON0138,2026-09-06,2026-10-06,BUY015,INR,Completed
PO000057,SUP0044,,2026-09-06,2026-09-24,BUY016,INR,Approved
PO000058,SUP0067,,2026-09-06,2026-09-30,BUY014,INR,Approved
PO000059,SUP0056,,2026-09-06,2026-10-21,BUY006,INR,Cancelled
PO000060,SUP0038,CON0044,2026-09-06,2026-10-03,BUY010,INR,Approved
PO000061,SUP0058,,2026-09-06,2026-10-21,BUY006,INR,Completed
PO000062,SUP0045,CON0115,2026-09-06,2026-10-11,BUY020,INR,Completed
PO000063,SUP0036,CON0083,2026-09-06,2026-09-16,BUY012,INR,Cancelled
PO000064,SUP0096,,2026-09-06,2026-09-23,BUY005,INR,Cancelled
PO000065,SUP0087,CON0038,2026-09-06,2026-10-11,BUY008,INR,Approved
PO000066,SUP0047,,2026-09-06,2026-10-07,BUY002,INR,Cancelled
PO000067,SUP0020,,2026-09-06,2026-10-11,BUY012,INR,Completed
PO000068,SUP0098,CON0137,2026-09-06,2026-09-17,BUY012,INR,Completed
PO000069,SUP0041,CON0015,2026-09-06,2026-09-30,BUY001,INR,Approved
PO000070,SUP0064,,2026-09-06,2026-10-16,BUY018,INR,Approved
PO000071,SUP0034,CON0021,2026-09-06,2026-09-29,BUY020,INR,Approved
PO000072,SUP0089,CON0029,2026-09-06,2026-10-14,BUY003,INR,Completed
PO000073,SUP0023,,2026-09-06,2026-10-11,BUY011,INR,Approved
PO000074,SUP0091,CON0028,2026-09-06,2026-09-17,BUY010,INR,Approved
PO000075,SUP0092,,2026-09-06,2026-09-24,BUY017,INR,Approved
PO000076,SUP0016,,2026-09-06,2026-09-25,BUY008,INR,Completed
PO000077,SUP0004,CON0085,2026-09-06,2026-10-06,BUY015,INR,Cancelled
PO000078,SUP0017,CON0097,2026-09-06,2026-09-18,BUY016,INR,Cancelled
PO000079,SUP0053,,2026-09-06,2026-10-09,BUY003,INR,Approved
PO000080,SUP0041,CON0105,2026-09-06,2026-09-17,BUY005,INR,Cancelled
PO000081,SUP0082,CON0040,2026-09-06,2026-10-20,BUY014,INR,Cancelled
PO000082,SUP0008,CON0109,2026-09-06,2026-09-20,BUY006,INR,Approved
PO000083,SUP0042,CON0096,2026-09-06,2026-09-27,BUY010,INR,Approved
PO000084,SUP0033,CON0084,2026-09-06,2026-09-25,BUY005,INR,Approved
PO000085,SUP0079,CON0034,2026-09-06,2026-10-17,BUY019,INR,Cancelled
PO000086,SUP0020,,2026-09-06,2026-09-23,BUY020,INR,Approved
PO000087,SUP0073,,2026-09-06,2026-09-15,BUY001,INR,Approved
PO000088,SUP0006,CON0067,2026-09-06,2026-10-19,BUY019,INR,Completed
PO000089,SUP0080,CON0147,2026-09-06,2026-09-14,BUY010,INR,Completed
PO000090,SUP0032,CON0004,2026-09-06,2026-10-08,BUY002,INR,Approved
PO000091,SUP0057,CON0039,2026-09-06,2026-10-09,BUY011,INR,Cancelled
PO000092,SUP0019,,2026-09-06,2026-10-03,BUY011,INR,Approved
PO000093,SUP0052,,2026-09-06,2026-09-21,BUY017,INR,Cancelled
PO000094,SUP0014,CON0042,2026-09-06,2026-10-03,BUY009,INR,Completed
PO000095,SUP0032,CON0004,2026-09-06,2026-09-22,BUY013,INR,Cancelled
PO000096,SUP0054,,2026-09-06,2026-09-28,BUY006,INR,Approved
PO000097,SUP0074,CON0113,2026-09-06,2026-10-03,BUY016,INR,Cancelled
PO000098,SUP0060,,2026-09-06,2026-10-14,BUY016,INR,Approved
PO000099,SUP0012,CON0027,2026-09-06,2026-10-08,BUY007,INR,Cancelled
PO000100,SUP0046,CON0076,2026-09-06,2026-09-16,BUY020,INR,Completed
PO000101,SUP0037,CON0133,2026-09-06,2026-10-17,BUY014,INR,Approved
PO000102,SUP0034,,2026-09-06,2026-10-06,BUY012,INR,Approved
PO000103,SUP0052,CON0094,2026-09-06,2026-09-16,BUY012,INR,Cancelled
PO000104,SUP0037,CON0133,2026-09-06,2026-09-17,BUY018,INR,Approved
PO000105,SUP0080,CON0025,2026-09-06,2026-09-20,BUY013,INR,Approved
PO000106,SUP0044,,2026-09-06,2026-10-18,BUY005,INR,Approved
PO000107,SUP0078,CON0047,2026-09-06,2026-10-15,BUY002,INR,Approved
PO000108,SUP0018,,2026-09-06,2026-10-04,BUY017,INR,Completed
PO000109,SUP0020,,2026-09-06,2026-10-21,BUY005,INR,Approved
PO000110,SUP0079,CON0092,2026-09-06,2026-10-03,BUY019,INR,Approved
PO000111,SUP0065,CON0100,2026-09-06,2026-10-15,BUY016,INR,Approved
PO000112,SUP0048,CON0031,2026-09-06,2026-10-04,BUY019,INR,Approved
PO000113,SUP0093,,2026-09-06,2026-09-14,BUY009,INR,Cancelled
PO000114,SUP0074,CON0113,2026-09-06,2026-09-27,BUY006,INR,Cancelled
PO000115,SUP0081,,2026-09-06,2026-10-07,BUY008,INR,Approved
PO000116,SUP0074,CON0113,2026-09-06,2026-09-20,BUY011,INR,Completed
PO000117,SUP0020,,2026-09-06,2026-10-09,BUY014,INR,Cancelled
PO000118,SUP0100,,2026-09-06,2026-10-13,BUY002,INR,Approved
PO000119,SUP0067,,2026-09-06,2026-09-26,BUY016,INR,Cancelled
PO000120,SUP0049,,2026-09-06,2026-10-03,BUY015,INR,Cancelled
PO000121,SUP0044,,2026-09-06,2026-10-17,BUY009,INR,Cancelled
PO000122,SUP0062,,2026-09-06,2026-09-25,BUY009,INR,Cancelled
PO000123,SUP0039,,2026-09-06,2026-09-27,BUY010,INR,Approved
PO000124,SUP0091,CON0028,2026-09-06,2026-09-26,BUY011,INR,Completed
PO000125,SUP0045,,2026-09-06,2026-10-18,BUY009,INR,Approved
PO000126,SUP0016,CON0138,2026-09-06,2026-10-19,BUY013,INR,Approved
PO000127,SUP0099,CON0007,2026-09-06,2026-09-22,BUY003,INR,Approved
PO000128,SUP0057,CON0039,2026-09-06,2026-09-29,BUY007,INR,Cancelled
PO000129,SUP0035,CON0003,2026-09-06,2026-10-18,BUY004,INR,Cancelled
PO000130,SUP0095,CON0088,2026-09-06,2026-10-20,BUY017,INR,Approved
PO000131,SUP0082,CON0062,2026-09-06,2026-09-27,BUY011,INR,Completed
PO000132,SUP0013,CON0075,2026-09-06,2026-09-21,BUY006,INR,Completed
PO000133,SUP0084,CON0020,2026-09-06,2026-10-13,BUY010,INR,Approved
PO000134,SUP0037,,2026-09-06,2026-09-16,BUY003,INR,Cancelled
PO000135,SUP0030,CON0036,2026-09-06,2026-10-17,BUY006,INR,Completed
PO000136,SUP0023,,2026-09-06,2026-09-15,BUY013,INR,Completed
PO000137,SUP0024,,2026-09-06,2026-10-01,BUY001,INR,Approved
PO000138,SUP0073,CON0080,2026-09-06,2026-10-21,BUY010,INR,Completed
PO000139,SUP0083,CON0050,2026-09-06,2026-10-17,BUY017,INR,Completed
PO000140,SUP0035,,2026-09-06,2026-09-25,BUY011,INR,Approved
PO000141,SUP0094,,2026-09-06,2026-10-12,BUY006,INR,Approved
PO000142,SUP0095,,2026-09-06,2026-10-04,BUY019,INR,Approved
PO000143,SUP0023,,2026-09-06,2026-10-08,BUY017,INR,Approved
PO000144,SUP0012,CON0027,2026-09-06,2026-10-08,BUY005,INR,Completed
PO000145,SUP0042,CON0030,2026-09-06,2026-09-28,BUY008,INR,Completed
PO000146,SUP0097,,2026-09-06,2026-09-30,BUY010,INR,Cancelled
PO000147,SUP0093,,2026-09-06,2026-10-19,BUY012,INR,Approved
PO000148,SUP0008,CON0109,2026-09-06,2026-09-20,BUY013,INR,Cancelled
PO000149,SUP0091,CON0028,2026-09-06,2026-10-02,BUY012,INR,Cancelled
PO000150,SUP0029,,2026-09-06,2026-09-27,BUY016,INR,Approved
PO000151,SUP0059,CON0143,2026-09-06,2026-10-21,BUY018,INR,Approved
PO000152,SUP0098,CON0137,2026-09-06,2026-09-28,BUY003,INR,Cancelled
PO000153,SUP0058,,2026-09-06,2026-10-16,BUY003,INR,Cancelled
PO000154,SUP0015,,2026-09-06,2026-09-16,BUY017,INR,Approved
PO000155,SUP0074,CON0113,2026-09-06,2026-10-17,BUY017,INR,Completed
PO000156,SUP0015,CON0132,2026-09-06,2026-09-26,BUY003,INR,Cancelled
PO000157,SUP0058,,2026-09-06,2026-09-16,BUY017,INR,Completed
PO000158,SUP0059,CON0143,2026-09-06,2026-10-19,BUY010,INR,Approved
PO000159,SUP0051,,2026-09-06,2026-09-29,BUY007,INR,Cancelled
PO000160,SUP0010,,2026-09-06,2026-09-15,BUY003,INR,Cancelled
PO000161,SUP0008,,2026-09-06,2026-09-17,BUY016,INR,Approved
PO000162,SUP0037,CON0133,2026-09-06,2026-10-09,BUY014,INR,Approved
PO000163,SUP0049,,2026-09-06,2026-10-11,BUY013,INR,Completed
PO000164,SUP0011,CON0127,2026-09-06,2026-10-17,BUY004,INR,Approved
PO000165,SUP0069,CON0140,2026-09-06,2026-10-08,BUY008,INR,Approved
PO000166,SUP0097,,2026-09-06,2026-09-14,BUY015,INR,Cancelled
PO000167,SUP0055,CON0117,2026-09-06,2026-10-17,BUY008,INR,Completed
PO000168,SUP0045,CON0115,2026-09-06,2026-09-22,BUY002,INR,Completed
PO000169,SUP0079,CON0034,2026-09-06,2026-09-14,BUY004,INR,Cancelled
PO000170,SUP0005,CON0051,2026-09-06,2026-10-11,BUY008,INR,Approved
PO000171,SUP0052,CON0094,2026-09-06,2026-10-11,BUY002,INR,Approved
PO000172,SUP0065,CON0100,2026-09-06,2026-10-01,BUY019,INR,Cancelled
PO000173,SUP0099,CON0007,2026-09-06,2026-10-03,BUY017,INR,Approved
PO000174,SUP0053,CON0103,2026-09-06,2026-10-02,BUY014,INR,Cancelled
PO000175,SUP0064,,2026-09-06,2026-09-16,BUY013,INR,Cancelled
PO000176,SUP0041,CON0105,2026-09-06,2026-10-09,BUY013,INR,Approved
PO000177,SUP0097,CON0049,2026-09-06,2026-10-17,BUY010,INR,Approved
PO000178,SUP0060,CON0057,2026-09-06,2026-09-16,BUY018,INR,Cancelled
PO000179,SUP0018,CON0069,2026-09-06,2026-10-07,BUY011,INR,Approved
PO000180,SUP0058,,2026-09-06,2026-10-06,BUY007,INR,Approved
PO000181,SUP0035,CON0120,2026-09-06,2026-10-07,BUY002,INR,Approved
PO000182,SUP0025,CON0048,2026-09-06,2026-10-20,BUY016,INR,Approved
PO000183,SUP0043,,2026-09-06,2026-10-02,BUY001,INR,Approved
PO000184,SUP0025,CON0077,2026-09-06,2026-09-20,BUY008,INR,Cancelled
PO000185,SUP0091,CON0028,2026-09-06,2026-09-26,BUY018,INR,Approved
PO000186,SUP0100,CON0090,2026-09-06,2026-10-01,BUY010,INR,Approved
PO000187,SUP0047,,2026-09-06,2026-10-15,BUY015,INR,Approved
PO000188,SUP0093,,2026-09-06,2026-10-13,BUY011,INR,Approved
PO000189,SUP0048,CON0031,2026-09-06,2026-10-03,BUY005,INR,Approved
PO000190,SUP0034,,2026-09-06,2026-10-18,BUY019,INR,Completed
PO000191,SUP0038,CON0044,2026-09-06,2026-09-22,BUY013,INR,Cancelled
PO000192,SUP0032,CON0004,2026-09-06,2026-10-14,BUY009,INR,Completed
PO000193,SUP0093,,2026-09-06,2026-10-14,BUY012,INR,Approved
PO000194,SUP0018,CON0069,2026-09-06,2026-10-17,BUY017,INR,Approved
PO000195,SUP0010,,2026-09-06,2026-09-16,BUY014,INR,Approved
PO000196,SUP0081,,2026-09-06,2026-09-27,BUY005,INR,Approved
PO000197,SUP0028,CON0102,2026-09-06,2026-10-15,BUY020,INR,Cancelled
PO000198,SUP0062,CON0056,2026-09-06,2026-10-14,BUY001,INR,Approved
PO000199,SUP0068,CON0124,2026-09-06,2026-09-30,BUY001,INR,Cancelled
PO000200,SUP0090,,2026-09-06,2026-10-10,BUY006,INR,Approved
PO000201,SUP0013,CON0018,2026-09-06,2026-10-16,BUY020,INR,Cancelled
PO000202,SUP0033,CON0084,2026-09-06,2026-10-05,BUY003,INR,Approved
PO000203,SUP0052,CON0094,2026-09-06,2026-10-12,BUY010,INR,Approved
PO000204,SUP0084,CON0020,2026-09-06,2026-09-15,BUY013,INR,Cancelled
PO000205,SUP0061,,2026-09-06,2026-09-16,BUY006,INR,Approved
PO000206,SUP0064,,2026-09-06,2026-10-10,BUY011,INR,Cancelled
PO000207,SUP0013,,2026-09-06,2026-10-16,BUY008,INR,Approved
PO000208,SUP0089,CON0029,2026-09-06,2026-10-19,BUY003,INR,Approved
PO000209,SUP0070,,2026-09-06,2026-10-19,BUY006,INR,Approved
PO000210,SUP0003,,2026-09-06,2026-09-26,BUY013,INR,Approved
PO000211,SUP0039,CON0066,2026-09-06,2026-09-23,BUY013,INR,Cancelled
PO000212,SUP0043,,2026-09-06,2026-10-07,BUY005,INR,Approved
PO000213,SUP0065,CON0100,2026-09-06,2026-10-05,BUY008,INR,Approved
PO000214,SUP0044,,2026-09-06,2026-10-21,BUY020,INR,Completed
PO000215,SUP0100,CON0090,2026-09-06,2026-10-03,BUY015,INR,Completed
PO000216,SUP0030,CON0063,2026-09-06,2026-10-05,BUY014,INR,Approved
PO000217,SUP0088,CON0026,2026-09-06,2026-10-20,BUY020,INR,Approved
PO000218,SUP0032,CON0004,2026-09-06,2026-09-17,BUY013,INR,Approved
PO000219,SUP0095,CON0088,2026-09-06,2026-10-07,BUY003,INR,Approved
PO000220,SUP0040,CON0126,2026-09-06,2026-10-11,BUY004,INR,Approved
PO000221,SUP0012,CON0059,2026-09-06,2026-09-24,BUY004,INR,Approved
PO000222,SUP0012,CON0059,2026-09-06,2026-10-05,BUY013,INR,Approved
PO000223,SUP0038,CON0044,2026-09-06,2026-10-09,BUY018,INR,Approved
PO000224,SUP0074,CON0113,2026-09-06,2026-10-16,BUY006,INR,Approved
PO000225,SUP0035,CON0003,2026-09-06,2026-10-02,BUY003,INR,Approved
PO000226,SUP0056,CON0148,2026-09-06,2026-09-30,BUY003,INR,Approved
PO000227,SUP0033,CON0084,2026-09-06,2026-09-28,BUY020,INR,Cancelled
PO000228,SUP0026,,2026-09-06,2026-10-12,BUY010,INR,Approved
PO000229,SUP0051,,2026-09-06,2026-10-04,BUY013,INR,Approved
PO000230,SUP0057,CON0039,2026-09-06,2026-10-04,BUY010,INR,Approved
PO000231,SUP0078,CON0047,2026-09-06,2026-09-25,BUY013,INR,Approved
PO000232,SUP0038,,2026-09-06,2026-10-14,BUY008,INR,Approved
PO000233,SUP0049,,2026-09-06,2026-09-30,BUY013,INR,Approved
PO000234,SUP0015,CON0068,2026-09-06,2026-10-19,BUY018,INR,Approved
PO000235,SUP0094,,2026-09-06,2026-10-12,BUY007,INR,Completed
PO000236,SUP0038,,2026-09-06,2026-09-17,BUY014,INR,Completed
PO000237,SUP0018,CON0069,2026-09-06,2026-10-02,BUY014,INR,Completed
PO000238,SUP0010,,2026-09-06,2026-10-11,BUY016,INR,Cancelled
PO000239,SUP0052,CON0146,2026-09-06,2026-10-17,BUY018,INR,Approved
PO000240,SUP0047,,2026-09-06,2026-10-17,BUY003,INR,Approved
PO000241,SUP0099,CON0007,2026-09-06,2026-09-28,BUY006,INR,Cancelled
PO000242,SUP0006,,2026-09-06,2026-10-19,BUY013,INR,Approved
PO000243,SUP0056,CON0148,2026-09-06,2026-09-19,BUY008,INR,Cancelled
PO000244,SUP0096,CON0108,2026-09-06,2026-10-16,BUY019,INR,Approved
PO000245,SUP0058,,2026-09-06,2026-10-06,BUY019,INR,Cancelled
PO000246,SUP0020,,2026-09-06,2026-10-05,BUY016,INR,Approved
PO000247,SUP0038,,2026-09-06,2026-10-09,BUY003,INR,Approved
PO000248,SUP0094,,2026-09-06,2026-09-22,BUY011,INR,Completed
PO000249,SUP0027,CON0136,2026-09-06,2026-10-16,BUY004,INR,Completed
PO000250,SUP0093,,2026-09-06,2026-10-11,BUY010,INR,Approved
PO000251,SUP0091,CON0028,2026-09-06,2026-09-20,BUY004,INR,Approved
PO000252,SUP0095,CON0142,2026-09-06,2026-09-28,BUY006,INR,Approved
PO000253,SUP0072,,2026-09-06,2026-10-10,BUY008,INR,Completed
PO000254,SUP0081,,2026-09-06,2026-09-24,BUY014,INR,Completed
PO000255,SUP0004,CON0085,2026-09-06,2026-09-25,BUY013,INR,Approved
PO000256,SUP0091,CON0028,2026-09-06,2026-09-26,BUY019,INR,Approved
PO000257,SUP0069,CON0023,2026-09-06,2026-09-24,BUY015,INR,Approved
PO000258,SUP0034,CON0021,2026-09-06,2026-10-14,BUY020,INR,Completed
PO000259,SUP0079,CON0092,2026-09-06,2026-10-08,BUY012,INR,Completed
PO000260,SUP0080,,2026-09-06,2026-09-24,BUY010,INR,Cancelled
PO000261,SUP0076,CON0149,2026-09-06,2026-09-18,BUY004,INR,Approved
PO000262,SUP0040,CON0126,2026-09-06,2026-09-20,BUY017,INR,Completed
PO000263,SUP0054,CON0131,2026-09-06,2026-10-21,BUY014,INR,Approved
PO000264,SUP0063,CON0010,2026-09-06,2026-10-17,BUY018,INR,Approved
PO000265,SUP0063,CON0010,2026-09-06,2026-10-01,BUY015,INR,Cancelled
PO000266,SUP0007,,2026-09-06,2026-10-05,BUY016,INR,Approved
PO000267,SUP0025,,2026-09-06,2026-10-07,BUY017,INR,Completed
PO000268,SUP0053,CON0103,2026-09-06,2026-10-14,BUY016,INR,Approved
PO000269,SUP0011,CON0107,2026-09-06,2026-10-19,BUY010,INR,Approved
PO000270,SUP0036,CON0073,2026-09-06,2026-09-27,BUY015,INR,Cancelled
PO000271,SUP0096,CON0006,2026-09-06,2026-10-14,BUY019,INR,Approved
PO000272,SUP0035,,2026-09-06,2026-10-17,BUY012,INR,Cancelled
PO000273,SUP0097,,2026-09-06,2026-09-15,BUY015,INR,Cancelled
PO000274,SUP0028,CON0102,2026-09-06,2026-10-10,BUY010,INR,Approved
PO000275,SUP0058,,2026-09-06,2026-09-29,BUY003,INR,Completed
PO000276,SUP0016,CON0138,2026-09-06,2026-09-28,BUY020,INR,Completed
PO000277,SUP0022,,2026-09-06,2026-09-21,BUY007,INR,Approved
PO000278,SUP0073,CON0080,2026-09-06,2026-10-05,BUY011,INR,Approved
PO000279,SUP0038,CON0044,2026-09-06,2026-10-19,BUY005,INR,Completed
PO000280,SUP0008,,2026-09-06,2026-09-30,BUY005,INR,Approved
PO000281,SUP0032,CON0004,2026-09-06,2026-09-22,BUY013,INR,Completed
PO000282,SUP0019,,2026-09-06,2026-10-19,BUY014,INR,Completed
PO000283,SUP0058,,2026-09-06,2026-09-17,BUY003,INR,Completed
PO000284,SUP0066,,2026-09-06,2026-09-30,BUY012,INR,Completed
PO000285,SUP0063,CON0010,2026-09-06,2026-10-03,BUY015,INR,Approved
PO000286,SUP0009,,2026-09-06,2026-10-17,BUY014,INR,Approved
PO000287,SUP0064,,2026-09-06,2026-09-30,BUY010,INR,Approved
PO000288,SUP0071,,2026-09-06,2026-10-19,BUY016,INR,Approved
PO000289,SUP0088,CON0106,2026-09-06,2026-09-16,BUY001,INR,Approved
PO000290,SUP0021,,2026-09-06,2026-10-11,BUY014,INR,Approved
PO000291,SUP0089,,2026-09-06,2026-09-21,BUY010,INR,Approved
PO000292,SUP0036,CON0083,2026-09-06,2026-09-18,BUY003,INR,Approved
PO000293,SUP0086,CON0134,2026-09-06,2026-09-23,BUY008,INR,Completed
PO000294,SUP0084,CON0020,2026-09-06,2026-09-18,BUY007,INR,Completed
PO000295,SUP0010,,2026-09-06,2026-09-21,BUY017,INR,Completed
PO000296,SUP0002,CON0045,2026-09-06,2026-09-13,BUY014,INR,Approved
PO000297,SUP0062,CON0011,2026-09-06,2026-09-17,BUY004,INR,Approved
PO000298,SUP0041,,2026-09-06,2026-10-06,BUY005,INR,Completed
PO000299,SUP0100,CON0090,2026-09-06,2026-09-21,BUY003,INR,Cancelled
PO000300,SUP0073,CON0080,2026-09-06,2026-09-13,BUY015,INR,Approved
PO000301,SUP0093,,2026-09-06,2026-09-26,BUY005,INR,Completed
PO000302,SUP0079,,2026-09-06,2026-10-11,BUY003,INR,Approved
PO000303,SUP0018,CON0069,2026-09-06,2026-09-20,BUY012,INR,Completed
PO000304,SUP0041,CON0015,2026-09-06,2026-09-21,BUY008,INR,Cancelled
PO000305,SUP0077,CON0112,2026-09-06,2026-10-21,BUY001,INR,Approved
PO000306,SUP0027,CON0081,2026-09-06,2026-10-16,BUY013,INR,Approved
PO000307,SUP0083,,2026-09-06,2026-09-16,BUY008,INR,Completed
PO000308,SUP0050,CON0005,2026-09-06,2026-09-20,BUY017,INR,Approved
PO000309,SUP0047,,2026-09-06,2026-10-03,BUY019,INR,Completed
PO000310,SUP0047,,2026-09-06,2026-10-17,BUY016,INR,Approved
PO000311,SUP0003,,2026-09-06,2026-10-20,BUY009,INR,Approved
PO000312,SUP0006,,2026-09-06,2026-09-16,BUY013,INR,Cancelled
PO000313,SUP0037,,2026-09-06,2026-10-15,BUY014,INR,Completed
PO000314,SUP0011,CON0107,2026-09-06,2026-10-17,BUY009,INR,Approved
PO000315,SUP0040,CON0126,2026-09-06,2026-09-18,BUY005,INR,Cancelled
PO000316,SUP0042,CON0096,2026-09-06,2026-10-08,BUY003,INR,Approved
PO000317,SUP0090,CON0101,2026-09-06,2026-10-10,BUY002,INR,Approved
PO000318,SUP0012,CON0027,2026-09-06,2026-10-10,BUY010,INR,Approved
PO000319,SUP0016,CON0138,2026-09-06,2026-09-13,BUY006,INR,Completed
PO000320,SUP0045,CON0115,2026-09-06,2026-10-16,BUY006,INR,Approved
PO000321,SUP0017,CON0017,2026-09-06,2026-09-30,BUY001,INR,Approved
PO000322,SUP0055,CON0130,2026-09-06,2026-09-30,BUY019,INR,Approved
PO000323,SUP0064,,2026-09-06,2026-10-12,BUY002,INR,Completed
PO000324,SUP0073,CON0080,2026-09-06,2026-09-23,BUY004,INR,Cancelled
PO000325,SUP0087,CON0038,2026-09-06,2026-09-20,BUY002,INR,Approved
PO000326,SUP0032,CON0004,2026-09-06,2026-09-15,BUY005,INR,Approved
PO000327,SUP0005,,2026-09-06,2026-10-18,BUY014,INR,Approved
PO000328,SUP0042,CON0096,2026-09-06,2026-09-28,BUY011,INR,Approved
PO000329,SUP0010,,2026-09-06,2026-10-19,BUY017,INR,Approved
PO000330,SUP0023,,2026-09-06,2026-09-27,BUY002,INR,Completed
PO000331,SUP0009,,2026-09-06,2026-10-12,BUY010,INR,Approved
PO000332,SUP0012,CON0059,2026-09-06,2026-10-18,BUY007,INR,Approved
PO000333,SUP0073,CON0080,2026-09-06,2026-10-02,BUY015,INR,Approved
PO000334,SUP0076,,2026-09-06,2026-10-14,BUY007,INR,Cancelled
PO000335,SUP0098,CON0116,2026-09-06,2026-09-28,BUY001,INR,Approved
PO000336,SUP0070,,2026-09-06,2026-10-05,BUY001,INR,Approved
PO000337,SUP0001,,2026-09-06,2026-10-07,BUY010,INR,Approved
PO000338,SUP0027,,2026-09-06,2026-10-16,BUY014,INR,Completed
PO000339,SUP0008,CON0109,2026-09-06,2026-09-22,BUY002,INR,Approved
PO000340,SUP0067,,2026-09-06,2026-10-09,BUY012,INR,Completed
PO000341,SUP0096,CON0089,2026-09-06,2026-09-18,BUY005,INR,Completed
