contract_id,supplier_id,category_id,start_date,end_date,negotiated_discount_pct,minimum_order_value,contract_status
CON0029,SUP0089,CAT005,2025-11-09,2026-11-03,15.03,0,Active
CON0030,SUP0042,CAT001,2025-08-05,2026-10-26,6.51,25000,Active
CON0031,SUP0048,CAT007,2024-10-08,2027-01-04,3.89,10000,Active
CON0032,SUP0068,CAT007,2025-06-16,2027-08-22,13.15,100000,Expired
CON0033,SUP0024,CAT003,2026-08-31,2027-07-13,12.06,10000,Active
CON0034,SUP0079,CAT007,2026-07-06,2026-09-22,16.04,100000,Expired
CON0035,SUP0031,CAT008,2026-08-05,2027-01-23,13.76,100000,Active
CON0036,SUP0030,CAT008,2025-02-16,2027-05-29,14.86,25000,Active
CON0037,SUP0033,CAT001,2025-03-18,2027-05-24,6.51,50000,Active
CON0038,SUP0087,CAT009,2024-11-24,2027-01-22,4.84,10000,Active
CON0039,SUP0057,CAT006,2026-05-04,2027-04-12,14.01,100000,Active
CON0040,SUP0082,CAT007,2026-07-24,2027-08-12,14.91,25000,Active
CON0041,SUP0039,CAT004,2025-07-18,2027-05-06,17.85,50000,Active
CON0042,SUP0014,CAT004,2026-04-11,2026-11-06,8.6,50000,Expired
CON0043,SUP0046,CAT010,2026-08-26,2027-09-03,7.95,25000,Expired
CON0044,SUP0038,CAT001,2025-03-08,2027-08-08,14.42,50000,Active
CON0045,SUP0002,CAT010,2025-01-10,2027-07-14,7.45,0,Expired
CON0046,SUP0096,CAT008,2026-05-28,2026-11-14,16.89,25000,Active
CON0047,SUP0078,CAT006,2026-07-22,2027-02-14,15.73,10000,Expired
CON0048,SUP0025,CAT010,2024-09-25,2026-11-15,8.86,25000,Expired
CON0049,SUP0097,CAT003,2026-04-01,2027-09-01,14.01,0,Expired
CON0050,SUP0083,CAT001,2025-05-22,2027-07-07,14.07,25000,Active
CON0051,SUP0005,CAT010,2026-08-29,2027-02-13,3.65,25000,Expired
CON0052,SUP0017,CAT002,2026-05-22,2027-05-25,16.44,25000,Active
CON0053,SUP0096,CAT007,2026-07-09,2027-06-19,10.08,10000,Active
CON0054,SUP0017,CAT009,2026-05-28,2026-12-12,15.22,25000,Expired
CON0055,SUP0065,CAT005,2025-04-01,2026-11-07,7.12,10000,Active
CON0056,SUP0062,CAT005,2026-05-10,2027-06-06,16.33,25000,Active
CON0057,SUP0060,CAT002,2024-11-28,2027-02-02,8.23,10000,Active
CON0058,SUP0087,CAT007,2026-07-15,2026-09-22,2.17,100000,Active
CON0059,SUP0012,CAT007,2026-07-04,2027-03-08,16.49,0,Active
CON0060,SUP0069,CAT002,2025-02-25,2026-11-23,3.46,50000,Active
CON0061,SUP0087,CAT005,2026-06-02,2027-08-29,7.11,100000,Active
CON0062,SUP0082,CAT006,2025-08-29,2027-01-20,17.2,0,Expired
CON0063,SUP0030,CAT008,2025-05-01,2027-07-22,17.21,0,Expired
CON0064,SUP0072,CAT006,2026-05-16,2027-08-11,11.18,100000,Active
CON0065,SUP0083,CAT002,2025-03-01,2026-12-02,12.11,50000,Expired
CON0066,SUP0039,CAT007,2024-09-24,2027-05-21,9.18,0,Active
CON0067,SUP0006,CAT001,2025-02-03,2027-02-08,6.69,25000,Active
CON0068,SUP0015,CAT002,2025-05-18,2026-12-24,7.26,10000,Expired
CON0069,SUP0018,CAT007,2026-07-09,2026-10-03,12.76,50000,Active
CON0070,SUP0086,CAT009,2026-04-29,2026-12-24,14.04,50000,Expired
CON0071,SUP0096,CAT003,2025-06-05,2027-05-14,14.67,50000,Expired
CON0072,SUP0013,CAT008,2025-10-06,2027-02-09,14.63,100000,Active
CON0073,SUP0036,CAT001,2026-02-15,2027-07-31,3.46,25000,Active
CON0074,SUP0057,CAT008,2025-10-27,2027-01-13,9.91,10000,Active
CON0075,SUP0013,CAT006,2026-09-05,2026-09-17,2.92,100000,Expired
CON0076,SUP0046,CAT001,2024-12-04,2027-08-13,10.79,50000,Active
CON0077,SUP0025,CAT002,2025-03-27,2026-11-15,9.06,50000,Active
CON0078,SUP0085,CAT004,2025-11-30,2026-12-19,16.2,100000,Active
CON0079,SUP0007,CAT006,2024-10-05,2026-10-19,7.61,10000,Active
CON0080,SUP0073,CAT004,2025-12-13,2027-02-22,3.87,0,Expired
CON0081,SUP0027,CAT010,2025-06-01,2027-06-16,4.29,10000,Active
CON0082,SUP0043,CAT003,2026-05-09,2027-01-06,14.18,100000,Active
CON0083,SUP0036,CAT003,2025-08-10,2027-04-30,11.89,10000,Expired
CON0084,SUP0033,CAT003,2025-10-08,2026-10-21,3.62,0,Expired
CON0085,SUP0004,CAT003,2025-07-02,2027-08-22,3.35,0,Active
CON0086,SUP0031,CAT010,2025-11-27,2026-11-19,13.22,25000,Active
CON0087,SUP0023,CAT005,2025-03-22,2026-09-24,3.16,0,Active
CON0088,SUP0095,CAT007,2026-03-10,2027-02-23,15.15,100000,Active
CON0089,SUP0096,CAT002,2024-09-07,2027-03-27,13.3,50000,Active
CON0090,SUP0100,CAT006,2026-08-25,2027-07-17,3.3,100000,Expired
CON0091,SUP0014,CAT008,2025-10-29,2027-05-31,3.36,100000,Active
CON0092,SUP0079,CAT001,2026-03-18,2027-06-22,17.79,100000,Active
CON0093,SUP0059,CAT001,2026-04-01,2027-05-25,7.99,0,Active
CON0094,SUP0052,CAT007,2025-02-06,2027-01-26,7.93,0,Active
CON0095,SUP0092,CAT008,2025-08-06,2026-10-04,15.0,0,Active
CON0096,SUP0042,CAT010,2026-02-03,2027-08-30,17.16,10000,Active
CON0097,SUP0017,CAT005,2025-05-20,2027-05-07,17.78,100000,Expired
CON0098,SUP0075,CAT009,2025-05-07,2027-05-22,14.05,25000,Active
CON0099,SUP0077,CAT009,2026-06-26,2026-10-25,8.02,25000,Active
CON0100,SUP0065,CAT010,2026-03-19,2027-08-22,3.34,50000,Active
CON0101,SUP0090,CAT002,2025-04-27,2027-03-22,14.43,100000,Expired
CON0102,SUP0028,CAT007,2025-05-04,2027-05-23,10.93,50000,Active
CON0103,SUP0053,CAT006,2025-07-20,2027-01-11,8.79,50000,Active
CON0104,SUP0054,CAT002,2025-07-15,2027-06-04,16.5,25000,Active
CON0105,SUP0041,CAT005,2025-04-23,2027-04-10,3.78,25000,Active
CON0106,SUP0088,CAT008,2024-12-13,2026-11-20,9.88,0,Active
CON0107,SUP0011,CAT002,2025-07-29,2027-05-23,2.18,50000,Active
CON0108,SUP0096,CAT006,2025-06-27,2027-05-28,9.5,10000,Expired
CON0109,SUP0008,CAT010,2026-04-10,2027-08-23,2.9,100000,Expired
CON0110,SUP0043,CAT002,2025-01-19,2027-05-04,3.9,50000,Active
CON0111,SUP0086,CAT007,2025-11-22,2027-01-01,3.88,0,Active
CON0112,SUP0077,CAT005,2025-07-18,2027-04-07,12.39,25000,Active
CON0113,SUP0074,CAT009,2026-06-15,2026-09-07,13.94,10000,Active
CON0114,SUP0085,CAT008,2025-04-30,2026-12-27,11.33,10000,Active
CON0115,SUP0045,CAT009,2025-02-16,2027-02-20,17.39,25000,Active
CON0116,SUP0098,CAT005,2026-05-09,2027-04-20,8.0,100000,Active
CON0117,SUP0055,CAT009,2025-12-21,2027-05-19,6.57,100000,Expired
CON0118,SUP0087,CAT009,2025-05-14,2027-03-06,15.9,0,Expired
CON0119,SUP0085,CAT005,2025-08-15,2027-02-25,5.58,0,Active
CON0120,SUP0035,CAT005,2026-02-12,2026-11-28,17.41,25000,Active
CON0121,SUP0001,CAT003,2025-10-08,2027-03-09,2.19,10000,Expired
CON0122,SUP0085,CAT007,2026-05-15,2027-08-22,17.52,0,Active
CON0123,SUP0095,CAT001,2026-05-17,2027-06-19,2.69,0,Expired
CON0124,SUP0068,CAT004,2025-01-15,2027-05-20,16.26,50000,Active
CON0125,SUP0059,CAT006,2024-11-10,2026-12-26,10.44,10000,Active
CON0126,SUP0040,CAT006,2025-10-11,2027-05-22,17.89,100000,Expired
CON0127,SUP0011,CAT001,2026-01-10,2027-05-05,3.18,10000,Active
CON0128,SUP0097,CAT010,2025-05-24,2026-10-13,10.86,0,Expired
CON0129,SUP0011,CAT005,2026-06-03,2027-06-25,17.51,50000,Expired
CON0130,SUP0055,CAT008,2025-03-07,2027-05-26,10.37,100000,Active
CON0131,SUP0054,CAT005,2025-05-05,2026-12-03,12.07,10000,Expired
CON0132,SUP0015,CAT006,2026-05-25,2026-11-23,13.13,50000,Active
CON0133,SUP0037,CAT010,2024-12-29,2026-09-16,9.27,50000,Expired
CON0134,SUP0086,CAT005,2024-10-11,2026-12-11,12.04,0,Active
CON0135,SUP0051,CAT010,2025-09-10,2027-05-02,11.35,0,Active
CON0136,SUP0027,CAT005,2026-06-28,2027-07-02,16.42,10000,Active
CON0137,SUP0098,CAT005,2024-11-01,2027-03-02,2.73,25000,Active
CON0138,SUP0016,CAT001,2025-07-24,2027-08-17,6.5,50000,Expired
CON0139,SUP0056,CAT003,2026-01-08,2027-04-18,17.21,10000,Active
CON0140,SUP0069,CAT004,2025-02-04,2027-06-12,16.24,100000,Expired
CON0141,SUP0086,CAT006,2026-02-28,2027-02-03,9.29,0,Active
CON0142,SUP0095,CAT001,2025-09-24,2027-02-09,11.92,50000,Active
CON0143,SUP0059,CAT002,2025-03-14,2026-11-03,6.44,25000,Expired
CON0144,SUP0055,CAT010,2026-01-28,2027-06-01,5.01,50000,Expired
CON0145,SUP0082,CAT007,2024-09-10,2027-08-19,9.42,25000,Active
CON0146,SUP0052,CAT001,2026-04-12,2027-08-07,7.65,25000,Active
CON0147,SUP0080,CAT008,2026-04-27,2027-08-16,11.34,25000,Active
CON0148,SUP0056,CAT002,2024-11-27,2027-07-06,3.24,10000,Active
CON0149,SUP0076,CAT007,2025-08-02,2026-11-30,17.59,100000,Active
CON0150,SUP0051,CAT005,2025-01-20,2027-07-16,17.78,25000,Active
