payment_id,invoice_id,payment_date,payment_amount
PAY000105,INV000196,2026-11-20,3304382.78
PAY000106,INV000197,2026-11-03,32650316.7
PAY000107,INV000201,2026-11-26,12250429.83
PAY000108,INV000204,2026-10-15,6270488.31
PAY000109,INV000206,2026-10-09,29993494.2
PAY000110,INV000207,2026-10-07,22176735.45
PAY000111,INV000209,2026-10-12,29688871.44
PAY000112,INV000210,2026-10-31,15886717.55
PAY000113,INV000213,2026-09-17,2573153.15
PAY000114,INV000215,2026-10-30,21995223.25
PAY000115,INV000217,2026-10-23,8966297.28
PAY000116,INV000220,2026-09-27,5831708.1
PAY000117,INV000223,2026-10-11,22684877.32
PAY000118,INV000227,2026-11-25,21607254.23
PAY000119,INV000229,2026-11-26,6026272.97
PAY000120,INV000230,2026-10-28,20208046.16
PAY000121,INV000234,2026-11-10,29665945.16
PAY000122,INV000235,2026-09-25,45404736.94
PAY000123,INV000236,2026-11-15,28188866.29
PAY000124,INV000238,2026-11-02,12565950.96
PAY000125,INV000239,2026-10-13,13035960.17
PAY000126,INV000240,2026-10-15,11779699.29
PAY000127,INV000241,2026-11-12,18213083.35
PAY000128,INV000243,2026-11-26,32760600.41
PAY000129,INV000245,2026-11-30,11352789.27
PAY000130,INV000246,2026-11-26,9456325.69
PAY000131,INV000248,2026-10-24,7108646.22
PAY000132,INV000249,2026-10-28,67684.19
PAY000133,INV000250,2026-10-25,5476316.38
PAY000134,INV000251,2026-10-16,16925597.24
PAY000135,INV000252,2026-10-10,1695264.52
PAY000136,INV000253,2026-11-12,3807591.3
PAY000137,INV000254,2026-11-12,21314040.28
PAY000138,INV000255,2026-10-09,38410655.67
PAY000139,INV000257,2026-10-19,7362716.74
PAY000140,INV000258,2026-09-29,4963958.7
PAY000141,INV000259,2026-11-09,20086767.56
PAY000142,INV000261,2026-10-26,6395113.63
PAY000143,INV000262,2026-11-18,10743755.32
PAY000144,INV000267,2026-12-01,566819.19
PAY000145,INV000268,2026-11-04,17735553.46
PAY000146,INV000269,2026-10-14,22606285.76
PAY000147,INV000270,2026-12-08,23891985.48
PAY000148,INV000272,2026-10-24,3765751.9
PAY000149,INV000273,2026-10-11,24195385.73
PAY000150,INV000274,2026-11-30,19710307.68
PAY000151,INV000276,2026-11-09,23604147.25
PAY000152,INV000277,2026-10-04,1914482.54
PAY000153,INV000278,2026-10-31,10967122.84
PAY000154,INV000280,2026-09-27,21988431.47
PAY000155,INV000281,2026-10-22,18693455.82
PAY000156,INV000282,2026-11-02,5935552.12
PAY000157,INV000283,2026-11-02,9303248.12
PAY000158,INV000284,2026-10-12,26278966.95
PAY000159,INV000285,2026-10-07,29057574.35
PAY000160,INV000287,2026-11-03,13457034.91
PAY000161,INV000288,2026-10-06,5506594.62
PAY000162,INV000289,2026-11-22,2268316.2
PAY000163,INV000291,2026-10-19,7657373.45
PAY000164,INV000293,2026-11-14,25800287.75
PAY000165,INV000294,2026-10-11,24769156.71
PAY000166,INV000295,2026-10-18,14474539.58
PAY000167,INV000296,2026-11-23,22674.4
PAY000168,INV000297,2026-10-04,27661278.13
PAY000169,INV000298,2026-11-27,13247490.7
PAY000170,INV000302,2026-10-31,17921155.27
PAY000171,INV000303,2026-10-20,10350366.81
PAY000172,INV000304,2026-11-13,11759371.49
PAY000173,INV000306,2026-10-13,9833755.48
PAY000174,INV000307,2026-11-23,1819733.04
PAY000175,INV000308,2026-10-12,22686916.52
PAY000176,INV000310,2026-10-23,1072211.5
PAY000177,INV000312,2026-10-19,20723996.18
PAY000178,INV000314,2026-10-19,16932706.94
PAY000179,INV000317,2026-10-24,13362436.41
PAY000180,INV000318,2026-11-17,27353702.52
PAY000181,INV000319,2026-10-05,13486204.71
PAY000182,INV000322,2026-11-23,654183.87
PAY000183,INV000323,2026-10-19,113686.44
PAY000184,INV000325,2026-10-24,122031.0
PAY000185,INV000326,2026-11-30,21055082.1
PAY000186,INV000327,2026-10-29,11566483.26
PAY000187,INV000328,2026-10-10,6133497.72
PAY000188,INV000329,2026-09-29,15591556.42
PAY000189,INV000330,2026-10-09,6308515.27
PAY000190,INV000331,2026-11-09,22158992.94
PAY000191,INV000332,2026-09-27,7801982.41
PAY000192,INV000333,2026-10-07,6585342.61
PAY000193,INV000334,2026-11-06,22072913.67
PAY000194,INV000335,2026-10-21,8234132.55
PAY000195,INV000339,2026-09-18,10195034.53
PAY000196,INV000340,2026-11-30,19160637.55
PAY000197,INV000342,2026-11-08,9704991.8
PAY000198,INV000344,2026-10-10,3986861.63
PAY000199,INV000345,2026-11-26,10600719.75
PAY000200,INV000346,2026-11-18,25065485.42
PAY000201,INV000348,2026-11-02,30606111.51
PAY000202,INV000349,2026-10-07,12559854.61
PAY000203,INV000352,2026-11-11,13625928.26
PAY000204,INV000353,2026-10-17,25006718.53
PAY000205,INV000354,2026-11-12,25044743.16
PAY000206,INV000355,2026-10-06,17425966.9
PAY000207,INV000356,2026-10-18,12174219.07
PAY000208,INV000358,2026-11-12,14601518.77
PAY000209,INV000362,2026-09-17,10386216.2
PAY000210,INV000363,2026-10-25,6645936.48
PAY000211,INV000364,2026-11-18,18115031.58
PAY000212,INV000365,2026-11-07,17124226.7
PAY000213,INV000368,2026-11-21,7092645.55
PAY000214,INV000370,2026-10-01,34150302.26
PAY000215,INV000372,2026-11-20,13012305.77
PAY000216,INV000373,2026-09-18,15506429.99
PAY000217,INV000376,2026-10-17,916993.71
PAY000218,INV000378,2026-10-08,17716752.37
PAY000219,INV000379,2026-11-10,8454652.67
PAY000220,INV000381,2026-11-01,20406001.18
PAY000221,INV000382,2026-11-03,24001916.88
PAY000222,INV000383,2026-09-25,27890830.95
PAY000223,INV000386,2026-10-21,12161507.38
PAY000224,INV000387,2026-11-04,17596505.54
PAY000225,INV000389,2026-11-02,2988712.36
PAY000226,INV000390,2026-10-15,13593510.42
PAY000227,INV000391,2026-10-27,12465364.44
PAY000228,INV000392,2026-11-21,7494983.43
PAY000229,INV000394,2026-11-02,29695045.92
PAY000230,INV000395,2026-10-16,19395652.21
PAY000231,INV000396,2026-10-08,7776469.67
PAY000232,INV000397,2026-11-25,22866177.66
PAY000233,INV000402,2026-10-01,1388589.17
PAY000234,INV000403,2026-11-06,13093862.18
PAY000235,INV000404,2026-10-14,19643709.99
PAY000236,INV000405,2026-11-16,21293792.16
PAY000237,INV000406,2026-10-22,14229758.2
PAY000238,INV000407,2026-11-20,12857372.78
PAY000239,INV000409,2026-11-16,10865908.22
PAY000240,INV000410,2026-11-16,25217518.26
PAY000241,INV000412,2026-11-28,20989625.23
PAY000242,INV000413,2026-10-30,13704350.03
PAY000243,INV000414,2026-10-31,16067576.25
PAY000244,INV000419,2026-10-18,2039894.21
PAY000245,INV000420,2026-10-14,13399360.72
PAY000246,INV000424,2026-10-02,15081601.12
PAY000247,INV000426,2026-10-07,8954166.32
PAY000248,INV000427,2026-10-16,8571931.63
PAY000249,INV000428,2026-10-12,18346746.47
PAY000250,INV000431,2026-09-23,1885454.7
PAY000251,INV000432,2026-11-05,11535281.48
PAY000252,INV000433,2026-11-24,15708596.43
PAY000253,INV000434,2026-11-02,3399863.96
PAY000254,INV000435,2026-10-25,7843289.64
PAY000255,INV000437,2026-11-18,1545510.6
PAY000256,INV000438,2026-11-26,12052511.15
PAY000257,INV000439,2026-10-17,6002636.63
PAY000258,INV000440,2026-10-14,8555238.71
PAY000259,INV000441,2026-11-03,8812825.08
PAY000260,INV000443,2026-12-06,9828582.74
PAY000261,INV000445,2026-11-21,23152977.78
PAY000262,INV000447,2026-10-06,14142172.43
PAY000263,INV000448,2026-09-29,2733998.42
PAY000264,INV000449,2026-10-03,28225227.76
PAY000265,INV000450,2026-10-27,19765173.81
PAY000266,INV000452,2026-09-27,7892901.28
PAY000267,INV000453,2026-10-08,8853556.73
PAY000268,INV000454,2026-11-17,22313219.58
PAY000269,INV000455,2026-12-06,4985684.34
PAY000270,INV000457,2026-11-15,9081414.45
PAY000271,INV000459,2026-10-10,10784520.13
PAY000272,INV000460,2026-10-12,16813122.84
PAY000273,INV000462,2026-11-26,18243199.02
PAY000274,INV000463,2026-10-29,5174796.04
PAY000275,INV000464,2026-11-17,15791450.48
PAY000276,INV000466,2026-11-16,19463779.12
PAY000277,INV000468,2026-10-14,10525829.83
PAY000278,INV000470,2026-10-31,4361165.89
PAY000279,INV000471,2026-11-06,41927.7
PAY000280,INV000472,2026-10-26,34328285.14
PAY000281,INV000474,2026-10-30,22517298.66
PAY000282,INV000477,2026-11-13,18689488.01
PAY000283,INV000479,2026-10-28,13357144.49
PAY000284,INV000480,2026-11-10,1648030.8
PAY000285,INV000481,2026-11-01,5546798.55
PAY000286,INV000482,2026-10-21,11678409.43
PAY000287,INV000484,2026-12-05,15014255.98
PAY000288,INV000486,2026-11-01,12196432.48
PAY000289,INV000487,2026-10-30,17587194.73
PAY000290,INV000488,2026-12-08,3049093.55
PAY000291,INV000489,2026-10-22,3039160.6
PAY000292,INV000492,2026-11-27,2461926.75
PAY000293,INV000493,2026-11-11,22222653.91
PAY000294,INV000495,2026-11-25,13867235.48
PAY000295,INV000496,2026-10-14,5776400.22
PAY000296,INV000498,2026-11-17,27129964.86
PAY000297,INV000500,2026-10-14,7745315.57
PAY000298,INV000504,2026-10-03,15019537.82
PAY000299,INV000506,2026-11-10,11432424.2
PAY000300,INV000508,2026-11-07,10570398.42
PAY000301,INV000509,2026-10-18,18248759.8
PAY000302,INV000510,2026-11-06,8360929.1
PAY000303,INV000513,2026-11-10,25360651.74
PAY000304,INV000514,2026-10-24,16283232.08
PAY000305,INV000515,2026-10-07,953168.3
PAY000306,INV000517,2026-10-07,11878533.58
PAY000307,INV000518,2026-11-05,12610152.2
PAY000308,INV000519,2026-09-21,9328013.06
PAY000309,INV000520,2026-10-13,6551763.41
PAY000310,INV000521,2026-11-13,34606090.78
PAY000311,INV000522,2026-11-03,21044228.47
PAY000312,INV000523,2026-11-09,7447759.35
PAY000313,INV000525,2026-10-27,621093.62
PAY000314,INV000527,2026-10-11,25091410.55
PAY000315,INV000529,2026-10-08,3803842.17
PAY000316,INV000531,2026-11-09,26143958.29
PAY000317,INV000533,2026-10-07,5531661.47
PAY000318,INV000535,2026-11-19,8049643.73
PAY000319,INV000536,2026-12-07,10654854.48
PAY000320,INV000537,2026-10-09,11091529.96
PAY000321,INV000538,2026-10-20,9042305.08
PAY000322,INV000539,2026-11-15,2489041.65
PAY000323,INV000540,2026-11-20,16594258.65
PAY000324,INV000541,2026-11-09,5715439.5
PAY000325,INV000542,2026-11-23,25127337.74
PAY000326,INV000543,2026-11-03,5925650.04
PAY000327,INV000544,2026-10-22,26951911.51
PAY000328,INV000549,2026-10-30,359944.47
PAY000329,INV000550,2026-10-18,14317246.06
PAY000330,INV000556,2026-11-23,234741.52
PAY000331,INV000557,2026-11-05,21307459.86
PAY000332,INV000559,2026-11-12,14085903.32
PAY000333,INV000560,2026-11-14,16700863.79
PAY000334,INV000563,2026-10-05,9871882.66
PAY000335,INV000564,2026-10-27,6635487.94
PAY000336,INV000566,2026-11-25,14300779.61
PAY000337,INV000567,2026-11-25,24724681.34
PAY000338,INV000570,2026-11-07,672198.68
PAY000339,INV000571,2026-11-18,3192867.64
PAY000340,INV000573,2026-11-04,19530383.24
PAY000341,INV000574,2026-10-22,18377494.57
PAY000342,INV000578,2026-11-16,2030171.4
PAY000343,INV000579,2026-11-21,24137083.41
PAY000344,INV000581,2026-11-01,5744928.55
PAY000345,INV000582,2026-09-20,13098617.43
PAY000346,INV000583,2026-11-05,30226319.02
PAY000347,INV000590,2026-10-19,6615087.66
PAY000348,INV000591,2026-11-12,13524719.47
PAY000349,INV000592,2026-11-08,7953599.68
PAY000350,INV000596,2026-11-03,33341073.57
PAY000351,INV000597,2026-11-29,31528091.41
PAY000352,INV000600,2026-11-16,14432220.76
PAY000353,INV000601,2026-11-03,393078.48
PAY000354,INV000602,2026-10-07,17732648.41
PAY000355,INV000604,2026-10-17,29195789.58
PAY000356,INV000605,2026-10-13,5955300.7
PAY000357,INV000606,2026-10-25,6444856.59
PAY000358,INV000607,2026-11-14,176067.2
PAY000359,INV000608,2026-11-07,13114944.49
PAY000360,INV000609,2026-10-29,12197351.42
PAY000361,INV000610,2026-10-13,20709012.76
PAY000362,INV000612,2026-10-19,551975.25
PAY000363,INV000613,2026-10-28,5352656.81
PAY000364,INV000615,2026-10-09,19450501.07
PAY000365,INV000616,2026-10-25,8915604.49
PAY000366,INV000617,2026-10-19,21793004.79
PAY000367,INV000619,2026-10-31,24406059.58
PAY000368,INV000621,2026-11-30,2866949.25
PAY000369,INV000623,2026-11-12,22876055.91
PAY000370,INV000624,2026-11-21,10910135.21
PAY000371,INV000628,2026-09-28,5092772.73
PAY000372,INV000630,2026-11-12,8383822.06
PAY000373,INV000637,2026-10-28,16825218.52
PAY000374,INV000639,2026-11-13,421810.8
PAY000375,INV000641,2026-09-19,8032115.52
PAY000376,INV000642,2026-11-12,8407200.18
PAY000377,INV000644,2026-11-08,3795208.0
PAY000378,INV000645,2026-10-02,15130722.56
PAY000379,INV000646,2026-10-12,12164229.13
PAY000380,INV000647,2026-10-24,21601464.6
PAY000381,INV000648,2026-10-05,12467233.84
PAY000382,INV000649,2026-10-12,12617918.04
PAY000383,INV000653,2026-10-04,19890517.08
PAY000384,INV000654,2026-11-08,14332266.15
PAY000385,INV000655,2026-12-05,33071124.53
PAY000386,INV000656,2026-10-27,33141020.3
PAY000387,INV000657,2026-11-13,21237433.95
PAY000388,INV000658,2026-11-04,17433418.75
PAY000389,INV000660,2026-10-28,1890686.11
PAY000390,INV000661,2026-11-13,37557211.81
PAY000391,INV000663,2026-11-06,18265750.4
PAY000392,INV000664,2026-11-19,14314538.92
PAY000393,INV000665,2026-11-01,28530752.48
PAY000394,INV000666,2026-10-25,14612826.1
PAY000395,INV000668,2026-10-13,9912415.61
PAY000396,INV000669,2026-10-21,21697605.05
PAY000397,INV000672,2026-11-03,23443368.79
PAY000398,INV000675,2026-10-22,11423864.42
PAY000399,INV000676,2026-10-28,2587511.64
PAY000400,INV000677,2026-11-02,22158124.4
PAY000401,INV000678,2026-12-08,20266947.29
PAY000402,INV000679,2026-11-19,3651229.19
PAY000403,INV000682,2026-11-24,8629551.0
PAY000404,INV000684,2026-11-25,16644263.53
PAY000405,INV000686,2026-12-09,24396972.16
PAY000406,INV000687,2026-10-15,406882.0
PAY000407,INV000690,2026-10-09,17290783.53
PAY000408,INV000691,2026-10-20,22099940.9
PAY000409,INV000692,2026-11-23,28488440.15
PAY000410,INV000693,2026-11-21,3500310.86
PAY000411,INV000695,2026-10-04,11775978.07
PAY000412,INV000697,2026-09-27,22137882.84
PAY000413,INV000698,2026-11-11,15130209.29
PAY000414,INV000699,2026-11-28,9791444.0
PAY000415,INV000701,2026-10-05,14533858.46
PAY000416,INV000702,2026-11-14,2968442.12
PAY000417,INV000704,2026-11-20,34236277.17
PAY000418,INV000705,2026-10-13,7033021.46
PAY000419,INV000706,2026-11-11,19406977.38
PAY000420,INV000711,2026-10-20,1307003.19
PAY000421,INV000712,2026-10-30,9784659.89
PAY000422,INV000713,2026-10-05,7053563.88
PAY000423,INV000715,2026-10-25,23213006.66
PAY000424,INV000717,2026-10-26,5618486.16
PAY000425,INV000718,2026-11-21,11442276.94
PAY000426,INV000720,2026-10-04,2012779.14
PAY000427,INV000721,2026-11-02,21535246.82
PAY000428,INV000722,2026-12-06,1660391.95
PAY000429,INV000723,2026-09-23,5665235.76
PAY000430,INV000724,2026-10-24,31580921.97
PAY000431,INV000725,2026-11-01,16073518.35
PAY000432,INV000727,2026-11-01,547783.92
PAY000433,INV000728,2026-09-26,22599637.37
PAY000434,INV000729,2026-11-21,19797398.93
PAY000435,INV000730,2026-11-26,19545311.98
PAY000436,INV000732,2026-11-09,16858984.28
PAY000437,INV000733,2026-12-07,3768969.49
PAY000438,INV000734,2026-10-11,22006443.73
PAY000439,INV000736,2026-10-31,26491231.85
PAY000440,INV000737,2026-12-06,16113683.36
PAY000441,INV000739,2026-11-11,13389138.57
PAY000442,INV000742,2026-10-30,5326093.93
PAY000443,INV000743,2026-11-03,37211238.11
PAY000444,INV000744,2026-11-28,9600156.87
PAY000445,INV000745,2026-11-25,2534752.98
PAY000446,INV000747,2026-10-02,4077357.37
PAY000447,INV000748,2026-10-19,25159416.05
PAY000448,INV000749,2026-10-14,2466063.2
PAY000449,INV000752,2026-10-31,555968.89
PAY000450,INV000753,2026-10-11,13066977.33
PAY000451,INV000755,2026-12-04,7251789.12
PAY000452,INV000757,2026-11-05,20182866.38
PAY000453,INV000759,2026-11-17,32368334.34
PAY000454,INV000760,2026-10-18,406700.84
PAY000455,INV000761,2026-10-26,16815937.16
PAY000456,INV000762,2026-10-03,10233275.72
PAY000457,INV000763,2026-11-03,27584197.81
PAY000458,INV000764,2026-11-10,9715734.2
PAY000459,INV000766,2026-10-31,26866392.5
PAY000460,INV000767,2026-09-15,6704443.22
PAY000461,INV000769,2026-10-13,1188666.75
PAY000462,INV000771,2026-11-09,1576111.47
PAY000463,INV000775,2026-10-08,6528466.66
PAY000464,INV000777,2026-11-10,2065456.18
PAY000465,INV000778,2026-09-22,870841.12
PAY000466,INV000779,2026-11-18,6045413.46
PAY000467,INV000780,2026-10-11,14525315.34
PAY000468,INV000783,2026-11-11,10851697.32
PAY000469,INV000784,2026-10-31,14525209.41
PAY000470,INV000788,2026-10-12,17119241.62
PAY000471,INV000791,2026-09-25,13263589.65
PAY000472,INV000792,2026-10-04,8256308.96
PAY000473,INV000793,2026-10-25,16623959.78
PAY000474,INV000794,2026-10-10,15580596.78
PAY000475,INV000796,2026-10-06,14302041.59
PAY000476,INV000802,2026-09-24,4755769.0
PAY000477,INV000804,2026-11-10,10671469.35
PAY000478,INV000805,2026-10-30,14683409.19
PAY000479,INV000806,2026-10-30,14003274.0
PAY000480,INV000807,2026-11-14,20488081.79
PAY000481,INV000808,2026-11-15,13094926.37
PAY000482,INV000809,2026-11-08,19562877.83
PAY000483,INV000811,2026-10-29,23224743.99
PAY000484,INV000812,2026-10-09,16378647.65
PAY000485,INV000813,2026-11-10,18948804.96
PAY000486,INV000817,2026-11-06,21573133.1
PAY000487,INV000819,2026-10-12,25929191.63
PAY000488,INV000820,2026-10-31,26506377.08
PAY000489,INV000821,2026-10-20,123940.84
PAY000490,INV000822,2026-10-26,17907775.72
PAY000491,INV000823,2026-10-27,6229152.27
PAY000492,INV000825,2026-09-19,11421068.98
PAY000493,INV000827,2026-11-10,17740627.09
PAY000494,INV000828,2026-11-13,13528687.13
PAY000495,INV000831,2026-11-11,18833055.19
PAY000496,INV000833,2026-10-26,10888011.35
PAY000497,INV000835,2026-10-19,17372269.06
PAY000498,INV000836,2026-10-22,2227499.76
PAY000499,INV000837,2026-11-13,8603339.7
PAY000500,INV000839,2026-11-06,14525446.17
PAY000501,INV000841,2026-10-09,23962530.94
PAY000502,INV000843,2026-11-14,20843817.04
PAY000503,INV000845,2026-10-04,4211129.44
PAY000504,INV000848,2026-11-01,25374019.76
PAY000505,INV000849,2026-10-30,894438.37
PAY000506,INV000852,2026-11-19,3515406.52
PAY000507,INV000853,2026-11-07,16980248.5
PAY000508,INV000854,2026-10-15,1590851.88
PAY000509,INV000858,2026-11-04,747261.54
PAY000510,INV000860,2026-11-30,22380301.8
PAY000511,INV000861,2026-10-02,30597288.17
PAY000512,INV000864,2026-11-27,12071624.27
PAY000513,INV000866,2026-10-01,12436659.26
PAY000514,INV000867,2026-09-28,9711040.4
PAY000515,INV000869,2026-11-06,9908124.06
PAY000516,INV000870,2026-10-02,12598419.98
PAY000517,INV000872,2026-11-02,25762571.24
PAY000518,INV000873,2026-10-07,10651384.3
PAY000519,INV000875,2026-11-27,9499740.27
PAY000520,INV000876,2026-11-12,1611361.2
PAY000521,INV000877,2026-11-01,13005286.98
PAY000522,INV000878,2026-10-25,6706376.73
PAY000523,INV000880,2026-11-19,36214640.76
PAY000524,INV000881,2026-12-10,7062481.0
PAY000525,INV000882,2026-10-06,27363697.31
PAY000526,INV000883,2026-10-06,32667355.22
PAY000527,INV000884,2026-10-16,532430.82
PAY000528,INV000885,2026-11-04,465572.87
PAY000529,INV000887,2026-11-07,7678182.39
PAY000530,INV000889,2026-10-29,2859881.98
PAY000531,INV000891,2026-11-14,16152977.58
PAY000532,INV000892,2026-11-24,16137485.09
PAY000533,INV000893,2026-12-03,20172907.69
PAY000534,INV000894,2026-11-07,19376059.47
PAY000535,INV000896,2026-09-29,21744742.0
PAY000536,INV000897,2026-11-03,10746099.85
PAY000537,INV000899,2026-11-16,20330904.57
PAY000538,INV000900,2026-10-24,2447705.16
PAY000539,INV000902,2026-11-03,34428095.33
PAY000540,INV000903,2026-11-01,19266839.79
PAY000541,INV000905,2026-10-15,9058872.29
PAY000542,INV000908,2026-11-04,1385193.48
PAY000543,INV000911,2026-10-06,677983.25
PAY000544,INV000913,2026-12-07,38344056.37
PAY000545,INV000914,2026-09-27,24626314.68
PAY000546,INV000915,2026-10-17,15485622.65
PAY000547,INV000916,2026-11-05,5605662.74
PAY000548,INV000917,2026-11-12,19932921.63
PAY000549,INV000918,2026-11-14,13647223.5
PAY000550,INV000922,2026-11-01,18939939.13
PAY000551,INV000923,2026-11-14,1529782.0
PAY000552,INV000924,2026-11-18,10219580.01
PAY000553,INV000925,2026-10-20,13279957.0
PAY000554,INV000927,2026-10-27,11185530.96
PAY000555,INV000928,2026-11-05,12532862.8
PAY000556,INV000930,2026-11-21,29181429.45
PAY000557,INV000933,2026-10-15,2323978.94
PAY000558,INV000934,2026-10-28,35015873.68
PAY000559,INV000935,2026-11-09,2988036.32
PAY000560,INV000936,2026-10-20,503705.52
PAY000561,INV000941,2026-11-26,31126632.93
PAY000562,INV000942,2026-11-07,9733633.78
PAY000563,INV000946,2026-10-30,25292801.07
PAY000564,INV000947,2026-11-06,9980333.27
PAY000565,INV000948,2026-11-16,10239879.7
PAY000566,INV000949,2026-11-06,2265870.75
PAY000567,INV000951,2026-10-30,4591776.13
PAY000568,INV000952,2026-11-30,24597206.44
PAY000569,INV000954,2026-09-27,294318.04
PAY000570,INV000955,2026-09-27,13073885.19
PAY000571,INV000957,2026-12-08,36020022.18
PAY000572,INV000958,2026-10-12,21314532.49
PAY000573,INV000960,2026-10-16,4607942.43
PAY000574,INV000963,2026-11-22,17695205.68
PAY000575,INV000965,2026-11-18,18516002.09
PAY000576,INV000966,2026-11-04,7910491.51
PAY000577,INV000967,2026-12-01,21773717.72
PAY000578,INV000969,2026-10-28,10762709.13
PAY000579,INV000970,2026-11-08,6674669.28
PAY000580,INV000971,2026-11-20,19897934.96
PAY000581,INV000972,2026-12-04,9268665.89
PAY000582,INV000975,2026-10-10,33161799.77
PAY000583,INV000977,2026-11-16,57090.9
