product_id,product_name,category_id,base_unit_cost
PROD0066,Cardboard Box,CAT007,125311.84
PROD0067,Steel Sheet,CAT001,48184.93
PROD0068,Steel Sheet,CAT006,28059.12
PROD0069,Plastic Packaging,CAT003,6212.19
PROD0070,Cleaning Service,CAT003,88674.85
PROD0071,Laptop,CAT009,101666.9
PROD0072,Consulting Service,CAT007,2586.52
PROD0073,Laptop,CAT010,76862.75
PROD0074,Copper Wire,CAT002,34051.72
PROD0075,Plastic Packaging,CAT003,96811.4
PROD0076,Desktop Computer,CAT003,26237.53
PROD0077,Steel Sheet,CAT005,103671.57
PROD0078,Server,CAT006,58071.63
PROD0079,Printer Paper,CAT008,140515.83
PROD0080,Steel Sheet,CAT006,20714.39
PROD0081,Copper Wire,CAT005,51225.85
PROD0082,Monitor,CAT005,17109.68
PROD0083,Laptop,CAT008,138711.57
PROD0084,Desktop Computer,CAT009,131613.17
PROD0085,Network Switch,CAT006,38765.45
PROD0086,Desktop Computer,CAT002,99031.61
PROD0087,Network Switch,CAT001,122601.61
PROD0088,Laptop,CAT004,83324.6
PROD0089,Keyboard,CAT010,79494.62
PROD0090,Keyboard,CAT004,36353.66
PROD0091,Printer,CAT008,14056.1
PROD0092,Server,CAT010,134592.64
PROD0093,Software License,CAT008,135072.67
PROD0094,Mouse,CAT006,95001.91
PROD0095,Cleaning Service,CAT010,50920.57
PROD0096,Mouse,CAT002,52446.52
PROD0097,Printer,CAT005,108920.76
PROD0098,Laptop,CAT010,134576.83
PROD0099,Consulting Service,CAT005,133074.25
PROD0100,Steel Sheet,CAT007,117003.34
PROD0101,Monitor,CAT004,96340.54
PROD0102,Network Switch,CAT010,12712.58
PROD0103,Office Chair,CAT002,24328.14
PROD0104,Printer,CAT010,134793.27
PROD0105,Desktop Computer,CAT010,91003.72
PROD0106,Maintenance Service,CAT006,1478.64
PROD0107,Industrial Motor,CAT007,15310.58
PROD0108,Transport Service,CAT002,99558.92
PROD0109,Laptop,CAT006,858.73
PROD0110,Cardboard Box,CAT007,24205.13
PROD0111,Copper Wire,CAT002,82355.2
PROD0112,Plastic Packaging,CAT006,103815.09
PROD0113,Copper Wire,CAT003,97828.99
PROD0114,Transport Service,CAT003,33717.97
PROD0115,Cleaning Service,CAT005,106855.67
PROD0116,Cardboard Box,CAT009,35663.64
PROD0117,Copper Wire,CAT008,48877.41
PROD0118,Software License,CAT010,111999.06
PROD0119,Network Switch,CAT006,97479.97
PROD0120,Software License,CAT002,127398.59
PROD0121,Network Switch,CAT008,98676.17
PROD0122,Consulting Service,CAT008,85289.46
PROD0123,Steel Sheet,CAT010,14141.85
PROD0124,Laptop,CAT006,55220.6
PROD0125,Printer Paper,CAT008,39853.83
PROD0126,Cardboard Box,CAT003,36674.05
PROD0127,Industrial Motor,CAT004,145954.28
PROD0128,Printer Paper,CAT005,59025.35
PROD0129,Cleaning Service,CAT005,133817.78
PROD0130,Maintenance Service,CAT005,94707.68
PROD0131,Transport Service,CAT001,119242.21
PROD0132,Monitor,CAT004,75445.3
PROD0133,Copper Wire,CAT004,86577.89
PROD0134,Maintenance Service,CAT008,73928.4
PROD0135,Cardboard Box,CAT004,29366.92
PROD0136,Plastic Packaging,CAT008,108395.57
PROD0137,Monitor,CAT001,42187.78
PROD0138,Network Switch,CAT005,3744.96
PROD0139,Network Switch,CAT007,96856.3
PROD0140,Consulting Service,CAT005,26648.89
PROD0141,Cardboard Box,CAT006,141074.74
PROD0142,Transport Service,CAT009,143093.89
PROD0143,Copper Wire,CAT006,137238.17
PROD0144,Printer Paper,CAT009,55586.79
PROD0145,Plastic Packaging,CAT006,2416.95
PROD0146,Office Chair,CAT005,139254.95
PROD0147,Network Switch,CAT005,64284.8
PROD0148,Server,CAT002,145001.56
PROD0149,Printer,CAT006,144546.63
PROD0150,Mouse,CAT009,127966.12
PROD0151,Server,CAT004,44237.89
PROD0152,Software License,CAT008,57826.15
PROD0153,Transport Service,CAT010,127685.39
PROD0154,Office Chair,CAT010,47606.61
PROD0155,Server,CAT002,25506.96
PROD0156,Network Switch,CAT005,83564.51
PROD0157,Mouse,CAT006,140429.6
PROD0158,Laptop,CAT005,104434.87
PROD0159,Keyboard,CAT009,85552.17
PROD0160,Desktop Computer,CAT005,14666.76
PROD0161,Maintenance Service,CAT001,92289.58
PROD0162,Keyboard,CAT005,148509.07
PROD0163,Printer,CAT008,21098.59
PROD0164,Consulting Service,CAT001,77797.61
PROD0165,Cardboard Box,CAT005,131618.22
PROD0166,Plastic Packaging,CAT008,111141.22
PROD0167,Mouse,CAT006,104582.66
PROD0168,Software License,CAT001,105402.36
PROD0169,Printer,CAT008,53987.72
PROD0170,Steel Sheet,CAT002,44109.42
PROD0171,Monitor,CAT008,121423.24
PROD0172,Desktop Computer,CAT010,121536.0
PROD0173,Keyboard,CAT003,130074.14
PROD0174,Office Chair,CAT010,136994.76
PROD0175,Network Switch,CAT002,76750.23
PROD0176,Maintenance Service,CAT002,75277.29
PROD0177,Cleaning Service,CAT007,119764.45
PROD0178,Cleaning Service,CAT010,97529.59
PROD0179,Transport Service,CAT004,105324.83
PROD0180,Plastic Packaging,CAT007,119389.32
PROD0181,Office Chair,CAT008,133511.8
PROD0182,Copper Wire,CAT010,50765.47
PROD0183,Consulting Service,CAT005,56399.88
PROD0184,Desktop Computer,CAT010,14187.89
PROD0185,Printer,CAT010,86784.19
PROD0186,Server,CAT004,5487.75
PROD0187,Monitor,CAT005,69893.14
PROD0188,Network Switch,CAT003,81442.43
PROD0189,Maintenance Service,CAT003,43052.53
PROD0190,Mouse,CAT002,88665.91
PROD0191,Copper Wire,CAT001,4671.99
PROD0192,Cleaning Service,CAT008,5698.49
PROD0193,Office Chair,CAT008,123407.82
PROD0194,Network Switch,CAT001,54092.58
PROD0195,Office Chair,CAT005,19146.37
PROD0196,Monitor,CAT008,78384.26
PROD0197,Software License,CAT004,115522.03
PROD0198,Server,CAT010,32451.57
PROD0199,Printer,CAT007,93471.28
PROD0200,Network Switch,CAT009,12893.59
PROD0201,Software License,CAT003,7847.09
PROD0202,Monitor,CAT003,79750.06
PROD0203,Mouse,CAT001,81141.2
PROD0204,Cleaning Service,CAT005,95650.74
PROD0205,Office Chair,CAT010,108941.09
PROD0206,Printer,CAT008,146380.23
PROD0207,Office Chair,CAT008,77493.42
PROD0208,Software License,CAT007,48511.18
PROD0209,Maintenance Service,CAT009,119298.41
PROD0210,Plastic Packaging,CAT008,40697.75
PROD0211,Cleaning Service,CAT002,65901.82
PROD0212,Copper Wire,CAT001,11860.61
PROD0213,Cleaning Service,CAT006,3900.08
PROD0214,Laptop,CAT005,144401.0
PROD0215,Network Switch,CAT002,125413.42
PROD0216,Consulting Service,CAT010,104426.53
PROD0217,Software License,CAT001,61402.05
PROD0218,Desktop Computer,CAT010,26076.82
PROD0219,Cardboard Box,CAT003,23549.91
PROD0220,Plastic Packaging,CAT009,37611.41
PROD0221,Mouse,CAT005,82429.08
PROD0222,Copper Wire,CAT010,107217.93
PROD0223,Monitor,CAT008,99063.59
PROD0224,Industrial Motor,CAT008,42062.09
PROD0225,Printer Paper,CAT007,143234.31
PROD0226,Printer,CAT006,110710.75
PROD0227,Printer Paper,CAT003,83197.67
PROD0228,Cardboard Box,CAT007,91796.94
PROD0229,Steel Sheet,CAT005,62998.05
PROD0230,Desktop Computer,CAT009,37234.88
PROD0231,Monitor,CAT008,53460.3
PROD0232,Software License,CAT006,113701.13
PROD0233,Printer,CAT006,2257.58
PROD0234,Transport Service,CAT007,17499.29
PROD0235,Maintenance Service,CAT001,6995.8
PROD0236,Copper Wire,CAT008,6205.25
PROD0237,Server,CAT001,128333.54
PROD0238,Industrial Motor,CAT009,105578.31
PROD0239,Cardboard Box,CAT010,71178.66
PROD0240,Desktop Computer,CAT008,14765.34
PROD0241,Software License,CAT004,73793.22
PROD0242,Keyboard,CAT009,71073.42
PROD0243,Plastic Packaging,CAT005,26062.96
PROD0244,Printer,CAT008,65134.36
PROD0245,Cleaning Service,CAT001,59835.86
PROD0246,Mouse,CAT004,92415.93
PROD0247,Maintenance Service,CAT005,95300.54
PROD0248,Maintenance Service,CAT001,6891.07
PROD0249,Monitor,CAT007,56254.43
PROD0250,Printer,CAT004,93916.4
